RTC_Time,Elapsed_s,Temp_C,Setpoint_C,PWM_pct,Error_C
19:44:16,1,44.31,40,100,4.31
19:44:18,2,44.31,40,100,4.38
19:44:20,3,44.31,40,100,4.38
19:44:22,4,44.31,40,100,4.38
19:44:24,5,44.31,40,100,4.44
19:44:26,6,44.31,40,100,4.44
19:44:28,7,44.31,40,100,4.44
19:44:30,8,44.31,40,100,4.44
19:44:32,9,44.31,40,100,4.38
19:44:34,10,44.25,40,100,4.31
19:44:36,11,44.25,40,100,4.31
19:44:38,12,44.31,40,100,4.19
19:44:40,13,44.31,40,100,3.94
19:44:42,14,44.31,40,100,3.69
19:44:45,15,44.31,40,100,3.5
19:44:47,16,44.31,40,100,3.38
19:44:49,17,44.31,40,100,3.25
19:44:51,18,44.31,40,100,3.25
19:44:53,19,44.31,40,100,3.38
19:44:55,20,44.38,40,100,3.38
19:44:57,21,44.38,40,100,3.25
19:44:59,22,44.38,40,100,3.12
19:45:01,23,44.38,40,100,3
19:45:03,24,44.38,40,100,2.94
19:45:05,25,44.44,40,100,2.94
19:45:07,26,44.5,40,100,2.88
19:45:09,27,44.56,40,100,2.69
19:45:11,28,44.62,40,100,2.44
19:45:13,29,44.69,40,100,2.25
19:45:15,30,44.75,40,100,2.12
19:45:17,31,44.81,40,100,2.06
19:45:19,33,44.88,40,96,1.94
19:45:21,34,44.88,40,95,1.88
19:45:23,35,44.88,40,94,1.81
19:45:25,36,44.94,40,87,1.62
19:45:27,37,44.94,40,80,1.44
19:45:29,38,45,40,78,1.31
19:45:31,39,45,40,76,1.25
19:45:33,40,45,40,72,1.12
19:45:35,41,45,40,65,0.94
19:45:37,42,45,40,63,0.81
19:45:39,43,45,40,62,0.75
19:45:41,44,45.06,40,60,0.69
19:45:43,45,45.06,40,60,0.69
19:45:45,46,45.06,40,60,0.69
19:45:47,47,45.06,40,60,0.69
19:45:49,48,45.12,40,57,0.62
19:45:51,49,45.12,40,55,0.56
19:45:53,50,45.19,40,56,0.56
19:45:55,51,45.19,40,55,0.5
19:45:57,52,45.19,40,32,0.38
19:45:59,53,45.19,40,28,0.31
19:46:01,54,45.25,40,17,0.12
19:46:03,55,45.25,40,38,0
19:46:05,56,45.31,40,34,-0.12
19:46:07,57,45.44,40,32,-0.19
19:46:09,58,45.56,40,30,-0.25
19:46:11,59,45.62,40,26,-0.31
19:46:13,60,45.75,40,26,-0.31
19:46:15,61,45.81,40,22,-0.38
19:46:17,62,45.94,40,21,-0.38
19:46:19,63,46.06,40,16,-0.44
19:46:21,64,46.19,40,16,-0.44
19:46:23,65,46.25,40,11,-0.5
19:46:25,66,46.31,40,7,-0.56
19:46:28,67,46.38,40,3,-0.62
19:46:30,68,46.44,40,0,-0.75
19:46:32,69,46.5,40,0,-0.81
19:46:34,70,46.5,40,0,-0.88
19:46:36,71,46.62,40,0,-1
19:46:38,72,46.69,40,0,-1.06
19:46:40,73,46.69,40,0,-1.06
19:46:42,74,46.75,40,0,-1.06
19:46:44,75,46.81,40,0,-1.06
19:46:46,76,46.81,40,0,-1.06
19:46:48,77,46.88,40,0,-1
19:46:50,78,46.94,40,0,-1
19:46:52,79,47,40,0,-1
19:46:54,80,47.06,40,0,-1
19:46:56,81,47.12,40,0,-0.94
19:46:58,82,47.19,40,0,-1
19:47:00,83,47.25,40,0,-0.94
19:47:02,84,47.31,40,0,-1
19:47:04,85,47.38,40,0,-0.94
19:47:06,86,47.44,40,0,-1
19:47:08,87,47.5,40,0,-0.94
19:47:10,88,47.56,40,0,-1
19:47:12,89,47.62,40,0,-1
19:47:14,90,47.69,40,0,-1
19:47:16,91,47.69,40,0,-1
19:47:18,92,47.75,40,0,-1
19:47:20,93,47.81,40,0,-1
19:47:22,94,47.88,40,0,-1
19:47:24,95,47.94,40,0,-1
19:47:26,96,48,40,0,-1
19:47:28,97,48,40,0,-1.06
19:47:31,98,48.06,40,0,-1.06
19:47:33,99,48.12,40,0,-1.06
19:47:35,100,48.12,40,0,-1.06
19:47:37,101,48.19,40,0,-1.06
19:47:39,102,48.25,40,0,-1.06
19:47:41,103,48.25,40,0,-1.06
19:47:43,104,48.31,40,0,-1.06
19:47:45,105,48.38,40,0,-1.06
19:47:47,106,48.44,40,0,-1.06
19:47:50,107,48.44,40,0,-1.06
19:47:52,108,48.5,40,0,-1.06
19:47:54,109,48.56,40,0,-1.06
19:47:56,110,48.62,40,0,-1.06
19:47:58,111,48.69,40,0,-1.06
19:48:00,112,48.81,40,0,-1.06
19:48:02,113,48.88,40,0,-1.06
19:48:04,114,48.88,40,0,-1.06
19:48:06,115,48.94,40,0,-1
19:48:08,116,49,40,0,-1
19:48:10,117,49.06,40,0,-1.06
19:48:12,118,49.12,40,0,-1
19:48:14,119,49.19,40,0,-1
19:48:16,120,49.31,40,0,-1
19:48:18,121,49.31,40,0,-1
19:48:20,122,49.44,40,0,-1
19:48:22,123,49.5,40,0,-1
19:48:24,124,49.56,40,0,-1
19:48:26,125,49.69,40,0,-1
19:48:28,126,49.75,40,0,-1
19:48:31,127,49.88,40,0,-1
19:48:33,128,49.94,40,0,-1
19:48:35,129,50,40,0,-1
19:48:37,130,50.06,40,0,-1
19:48:39,131,50.19,40,0,-1
19:48:41,132,50.19,40,0,-1
19:48:43,133,50.25,40,0,-1
19:48:45,134,50.25,40,0,-1
19:48:47,135,50.31,40,0,-1
19:48:49,136,50.25,40,0,-1
19:48:51,137,50.31,40,0,-1
19:48:53,138,50.31,40,0,-1.06
19:48:55,139,50.31,40,0,-1
19:48:57,140,50.31,40,0,-1
19:48:59,141,50.38,40,0,-1.06
19:49:01,143,50.38,40,0,-1
19:49:04,144,50.38,40,0,-1
19:49:06,145,50.38,40,0,-1
19:49:08,146,50.44,40,0,-1
19:49:10,147,50.44,40,0,-1
19:49:12,148,50.44,40,0,-1
19:49:14,149,50.5,40,0,-1
19:49:16,150,50.56,40,0,-1
19:49:18,151,50.56,40,0,-1
19:49:20,152,50.56,40,0,-1
19:49:22,153,50.62,40,0,-1
19:49:24,154,50.75,40,0,-1
19:49:26,155,50.75,40,0,-1
19:49:28,156,50.88,40,0,-1
19:49:30,157,50.88,40,0,-1
19:49:32,158,50.94,40,0,-1
19:49:34,159,51,40,0,-1
19:49:36,160,51.06,40,0,-1
19:49:38,161,51.12,40,0,-0.94
19:49:40,162,51.12,40,0,-0.94
19:49:42,163,51.19,40,0,-1
19:49:44,164,51.19,40,0,-1
19:49:46,165,51.31,40,0,-1
19:49:48,166,51.31,40,0,-1
19:49:50,167,51.38,40,0,-1
19:49:52,168,51.44,40,0,-1
19:49:55,169,51.5,40,0,-0.94
19:49:57,170,51.56,40,0,-1
19:49:59,171,51.56,40,0,-1
19:50:01,172,51.62,40,0,-1
19:50:03,173,51.69,40,0,-1
19:50:05,174,51.75,40,0,-0.94
19:50:07,175,51.75,40,0,-1
19:50:09,176,51.88,40,0,-0.94
19:50:11,177,51.81,40,0,-1
19:50:13,178,51.94,40,0,-1
19:50:15,179,51.94,40,0,-1
19:50:17,180,51.94,40,0,-1
19:50:19,181,51.94,40,0,-1
19:50:21,182,52,40,0,-1
19:50:23,183,52,40,0,-1
19:50:25,184,52,40,0,-1
19:50:28,185,52,40,0,-1
19:50:30,186,52.06,40,0,-1
19:50:32,187,52.06,40,0,-1
19:50:34,188,52.06,40,0,-0.94
19:50:36,189,52.06,40,0,-1
19:50:38,190,52.06,40,0,-0.94
19:50:40,191,52.12,40,0,-1
19:50:42,192,52.12,40,0,-1
19:50:44,193,52.12,40,0,-1
19:50:46,195,52.12,40,0,-1
19:50:48,196,52.19,40,0,-0.94
19:50:50,197,52.25,40,0,-0.94
19:50:52,198,52.25,40,0,-0.94
19:50:54,199,52.38,40,0,-1
19:50:56,200,52.44,40,0,-1
19:50:58,201,52.44,40,0,-0.94
19:51:01,202,52.5,40,0,-1
19:51:03,203,52.5,40,0,-0.94
19:51:05,204,52.5,40,0,-0.94
19:51:07,205,52.44,40,0,-0.94
19:51:09,206,52.44,40,0,-0.94
19:51:11,207,52.44,40,0,-0.94
19:51:13,208,52.44,40,0,-0.94
19:51:15,209,52.44,40,0,-0.94
19:51:17,210,52.44,40,0,-0.94
19:51:19,211,52.44,40,0,-1
19:51:21,212,52.44,40,0,-0.94
19:51:23,213,52.44,40,0,-0.94
19:51:25,214,52.44,40,0,-0.94
19:51:27,215,52.5,40,0,-0.94
19:51:30,216,52.5,40,0,-0.94
19:51:32,217,52.56,40,0,-0.94
19:51:34,218,52.62,40,0,-0.94
19:51:36,219,52.69,40,0,-0.94
19:51:38,220,52.69,40,0,-0.94
19:51:40,221,52.75,40,0,-0.94
19:51:42,222,52.75,40,0,-0.94
19:51:44,223,52.81,40,0,-0.94
19:51:46,224,52.81,40,0,-0.94
19:51:48,225,52.88,40,0,-0.94
19:51:50,226,52.88,40,0,-0.94
19:51:52,227,52.94,40,0,-0.94
19:51:54,228,53,40,0,-0.94
19:51:56,229,53.06,40,0,-0.94
19:51:58,230,53.06,40,0,-0.94
19:52:00,231,53.12,40,0,-0.94
19:52:02,232,53.19,40,0,-0.94
19:52:04,233,53.19,40,0,-0.94
19:52:06,234,53.25,40,0,-0.94
19:52:08,235,53.25,40,0,-0.94
19:52:10,236,53.31,40,0,-0.94
19:52:12,237,53.44,40,0,-0.94
19:52:14,238,53.5,40,0,-0.94
19:52:16,239,53.56,40,0,-0.94
19:52:18,240,53.62,40,0,-0.94
19:52:20,241,53.69,40,0,-0.94
,242,53.75,,,
,243,53.75,,,
,244,53.81,,,
,246,53.88,,,
,247,53.94,,,
,248,54,,,
,249,54,,,
,250,54.06,,,
,251,54.06,,,
,252,54.06,,,
,253,54.12,,,
,254,54.12,,,
,255,54.12,,,
,256,54.12,,,
,257,54.12,,,
,258,54.12,,,
,259,54.12,,,
,260,54.12,,,
,261,54.06,,,
,262,54.06,,,
,263,54.06,,,
,264,54.06,,,
,265,54.06,,,
,266,54.06,,,
,267,54.06,,,
,268,54.06,,,
,269,54.06,,,
,270,54.06,,,
,271,54.06,,,
,272,54.06,,,
,273,54.06,,,
,274,54.06,,,
,275,54.06,,,
,276,54.06,,,
,277,54.06,,,
,278,54.06,,,
,279,54.06,,,
,280,54.06,,,
,281,54.06,,,
,282,54.06,,,
,283,54.06,,,
,284,54.06,,,
,285,54.06,,,
,286,54.06,,,
,287,54.06,,,
,288,54.06,,,
,289,54.06,,,
,290,54.06,,,
,291,54.06,,,
,292,54.06,,,
,293,54.06,,,
,294,54.06,,,
,295,54.06,,,
,296,54.06,,,
,297,54.06,,,
,298,54.06,,,
,299,54.06,,,
,300,54.12,,,
,301,54.12,,,
,302,54.12,,,
,303,54.06,,,
,304,54.12,,,
,305,54.12,,,
,306,54.12,,,
,307,54.12,,,
,308,54.12,,,
,309,54.19,,,
,310,54.19,,,
,311,54.19,,,
,312,54.19,,,
,313,54.19,,,
,314,54.19,,,
,315,54.19,,,
,316,54.19,,,
,317,54.19,,,
,318,54.19,,,
,319,54.19,,,
,320,54.19,,,
,321,54.19,,,
,322,54.19,,,
,323,54.19,,,
,324,54.19,,,
,325,54.12,,,
,326,54.12,,,
,327,54.12,,,
,328,54.12,,,
,329,54.12,,,
,330,54.12,,,
,331,54.12,,,
,332,54.12,,,
,333,54.12,,,
,334,54.06,,,
,335,54.06,,,
,336,54.06,,,
,337,54.06,,,
,338,54.12,,,
,339,54.06,,,
,340,54.06,,,
,341,54.12,,,
,342,54.06,,,
,344,54.06,,,
,345,54.12,,,
,346,54.06,,,
,347,54.06,,,
,348,54.06,,,
,349,54.12,,,
,350,54.06,,,
,351,54.12,,,
,352,54.12,,,
,353,54.06,,,
,354,54.12,,,
,355,54.12,,,
,356,54.12,,,
,357,54.12,,,
,358,54.19,,,
,359,54.19,,,
,360,54.25,,,
,361,54.25,,,
,362,54.25,,,
,363,54.31,,,
,364,54.38,,,
,365,54.38,,,
,366,54.44,,,
,367,54.44,,,
,368,54.5,,,
,369,54.5,,,
,370,54.5,,,
,371,54.5,,,
,372,54.44,,,
,373,54.44,,,
,374,54.44,,,
,375,54.44,,,
,376,54.44,,,
,377,54.44,,,
,378,54.38,,,
,379,54.38,,,
,380,54.38,,,
,381,54.38,,,
,383,54.38,,,
,384,54.31,,,
,385,54.31,,,
,386,54.31,,,
,387,54.31,,,
,388,54.31,,,
,389,54.31,,,
,390,54.31,,,
,391,54.31,,,
,392,54.31,,,
,393,54.31,,,
,394,54.31,,,
,395,54.31,,,
,396,54.31,,,
,397,54.38,,,
,398,54.38,,,
,399,54.38,,,
,400,54.38,,,
,401,54.44,,,
,402,54.44,,,
,403,54.5,,,
,404,54.5,,,
,405,54.5,,,
,406,54.5,,,
,407,54.5,,,
,408,54.5,,,
,409,54.5,,,
,410,54.56,,,
,411,54.5,,,
,412,54.5,,,
,413,54.5,,,
,415,54.5,,,
,416,54.5,,,
,417,54.5,,,
,418,54.5,,,
,419,54.5,,,
,420,54.5,,,
,421,54.5,,,
,422,54.56,,,
,423,54.56,,,
,424,54.56,,,
,425,54.5,,,
,426,54.56,,,
,427,54.56,,,
,428,54.56,,,
,429,54.56,,,
,430,54.56,,,
,431,54.56,,,
,432,54.62,,,
,433,54.56,,,
,434,54.56,,,
,435,54.56,,,
,436,54.62,,,
,437,54.62,,,
,438,54.62,,,
,439,54.62,,,
,440,54.62,,,
,441,54.62,,,
,442,54.62,,,
,443,54.62,,,
,444,54.69,,,
,445,54.69,,,
,446,54.69,,,
,447,54.69,,,
,448,54.75,,,
,449,54.69,,,
,450,54.75,,,
,451,54.75,,,
,452,54.75,,,
,453,54.75,,,
,455,54.75,,,
,456,54.75,,,
,457,54.75,,,
,458,54.75,,,
,459,54.75,,,
,460,54.75,,,
,461,54.75,,,
,462,54.81,,,
,463,54.81,,,
,464,54.81,,,
,465,54.81,,,
,466,54.81,,,
,467,54.88,,,
,468,54.88,,,
,469,54.88,,,
,470,54.88,,,
,471,54.94,,,
,472,54.94,,,
,474,55,,,
,475,54.94,,,
,476,54.94,,,
,477,54.94,,,
,478,54.94,,,
,479,54.94,,,
,480,54.94,,,
,481,54.94,,,
,482,54.94,,,
,483,54.94,,,
,484,54.88,,,
,485,54.94,,,
,486,54.94,,,
,487,54.88,,,
,488,54.88,,,
,489,54.88,,,
,490,54.88,,,
,491,54.88,,,
,492,54.88,,,
,493,54.88,,,
,494,54.88,,,
,495,54.94,,,
,496,54.88,,,
,497,54.88,,,
,498,54.88,,,
,499,54.88,,,
,500,54.88,,,
,501,54.88,,,
,502,54.88,,,
,503,54.88,,,
,504,54.88,,,
,505,54.88,,,
,506,54.94,,,
,507,54.88,,,
,508,54.88,,,
,509,54.94,,,
,511,54.94,,,
,512,54.88,,,
,513,54.88,,,
,514,54.88,,,
,515,54.94,,,
,516,54.94,,,
,517,54.88,,,
,518,54.88,,,
,519,54.88,,,
,520,54.88,,,
,521,54.94,,,
,522,54.88,,,
,523,54.88,,,
,524,54.94,,,
,525,54.94,,,
,526,54.94,,,
,527,54.88,,,
,528,54.94,,,
,529,54.94,,,
,530,54.94,,,
,531,54.94,,,
,532,54.94,,,
,533,54.94,,,
,534,54.88,,,
,535,54.88,,,
,536,54.94,,,
,537,54.94,,,
,538,54.88,,,
,539,54.88,,,
,540,54.88,,,
,541,54.88,,,
,542,54.88,,,
,543,54.88,,,
,544,54.88,,,
,545,54.88,,,
,546,54.88,,,
,547,54.88,,,
,548,54.88,,,
,549,54.88,,,
,550,54.88,,,
,551,54.88,,,
,552,54.88,,,
,553,54.88,,,
,554,54.88,,,
,555,54.88,,,
,556,54.88,,,
,558,54.88,,,
,559,54.88,,,
,560,54.88,,,
,561,54.88,,,
,562,54.88,,,
,563,54.88,,,
,564,54.88,,,
,565,54.88,,,
,566,54.88,,,
,567,54.88,,,
,568,54.88,,,
,569,54.88,,,
,570,54.88,,,
,571,54.88,,,
,572,54.88,,,
,573,54.94,,,
,574,54.88,,,
