RTC_Time,Elapsed_s,Temp_C,Setpoint_C,PWM_pct,Error_C
14:11:04,1,33.49,35.0,50,1.51
14:11:06,3,33.49,35.0,50,1.51
14:11:08,5,33.49,35.0,50,1.51
14:11:10,7,33.50,35.0,50,1.50
14:11:12,9,33.51,35.0,49,1.49
14:11:14,11,33.53,35.0,49,1.47
14:11:16,13,33.54,35.0,48,1.46
14:11:18,15,33.57,35.0,47,1.43
14:11:20,17,33.60,35.0,46,1.40
14:11:22,19,33.63,35.0,45,1.37
14:11:24,21,33.67,35.0,44,1.33
14:11:26,23,33.70,35.0,43,1.30
14:11:28,25,33.73,35.0,42,1.27
14:11:30,27,33.78,35.0,40,1.22
14:11:32,29,33.82,35.0,39,1.18
14:11:34,31,33.88,35.0,37,1.12
14:11:36,33,33.91,35.0,36,1.09
14:11:38,35,33.94,35.0,35,1.06
14:11:40,37,33.97,35.0,34,1.03
14:11:42,39,34.00,35.0,33,1.00
14:11:44,41,34.03,35.0,32,0.97
14:11:46,43,34.05,35.0,31,0.95
14:11:48,45,34.06,35.0,31,0.94
14:11:50,47,34.08,35.0,30,0.92
14:11:52,49,34.11,35.0,29,0.89
14:11:54,51,34.12,35.0,29,0.88
14:11:56,53,34.14,35.0,28,0.86
14:11:58,55,34.16,35.0,28,0.84
14:12:00,57,34.17,35.0,27,0.83
14:12:02,59,34.20,35.0,26,0.80
14:12:04,61,34.21,35.0,26,0.79
14:12:06,63,34.23,35.0,25,0.77
14:12:08,65,34.24,35.0,25,0.76
14:12:10,67,34.26,35.0,25,0.74
14:12:12,69,34.27,35.0,25,0.73
14:12:14,71,34.29,35.0,25,0.71
14:12:16,73,34.30,35.0,25,0.70
14:12:18,75,34.31,35.0,25,0.69
14:12:20,77,34.33,35.0,25,0.67
14:12:22,79,34.33,35.0,25,0.67
14:12:24,81,34.35,35.0,25,0.65
14:12:26,83,34.36,35.0,25,0.64
14:12:28,85,34.37,35.0,25,0.63
14:12:30,87,34.38,35.0,25,0.62
14:12:32,89,34.39,35.0,25,0.61
14:12:34,91,34.40,35.0,25,0.60
14:12:36,93,34.41,35.0,25,0.59
14:12:38,95,34.42,35.0,25,0.58
14:12:40,97,34.43,35.0,25,0.57
14:12:42,99,34.43,35.0,25,0.57
14:12:44,101,34.44,35.0,25,0.56
14:12:46,103,34.45,35.0,25,0.55
14:12:48,105,34.47,35.0,25,0.53
14:12:50,107,34.46,35.0,25,0.54
14:12:52,109,34.48,35.0,25,0.52
14:12:54,111,34.48,35.0,25,0.52
14:12:56,113,34.49,35.0,25,0.51
14:12:58,115,34.49,35.0,25,0.51
14:13:00,117,34.50,35.0,25,0.50
14:13:02,119,34.50,35.0,25,0.50
14:13:04,121,34.50,35.0,25,0.50
14:13:06,123,34.52,35.0,25,0.48
14:13:08,125,34.52,35.0,25,0.48
14:13:10,127,34.53,35.0,25,0.47
14:13:12,129,34.53,35.0,25,0.47
14:13:14,131,34.54,35.0,25,0.46
14:13:16,133,34.54,35.0,25,0.46
14:13:18,135,34.55,35.0,25,0.45
14:13:20,137,34.56,35.0,25,0.44
14:13:22,139,34.56,35.0,25,0.44
14:13:24,141,34.56,35.0,25,0.44
14:13:26,143,34.56,35.0,25,0.44
14:13:28,145,34.57,35.0,25,0.43
14:13:30,147,34.58,35.0,25,0.42
14:13:32,149,34.58,35.0,25,0.42
14:13:34,151,34.59,35.0,25,0.41
14:13:36,153,34.59,35.0,25,0.41
14:13:38,155,34.60,35.0,25,0.40
14:13:40,157,34.60,35.0,25,0.40
14:13:42,159,34.61,35.0,25,0.39
14:13:44,161,34.61,35.0,25,0.39
14:13:46,163,34.61,35.0,25,0.39
14:13:48,165,34.61,35.0,25,0.39
14:13:50,167,34.62,35.0,25,0.38
14:13:52,169,34.62,35.0,25,0.38
14:13:54,171,34.63,35.0,25,0.37
14:13:56,173,34.65,35.0,25,0.35
14:13:58,175,34.67,35.0,25,0.33
14:14:00,177,34.70,35.0,25,0.30
14:14:02,179,34.74,35.0,25,0.26
14:14:04,181,34.78,35.0,25,0.22
14:14:06,183,34.82,35.0,25,0.18
14:14:08,185,34.87,35.0,25,0.13
14:14:10,187,34.93,35.0,25,0.07
14:14:12,189,34.98,35.0,25,0.02
14:14:14,191,35.04,35.0,0,-0.04
14:14:16,193,35.08,35.0,0,-0.08
14:14:18,195,35.12,35.0,0,-0.12
14:14:20,197,35.14,35.0,0,-0.14
14:14:22,199,35.18,35.0,0,-0.18
14:14:24,201,35.20,35.0,0,-0.20
14:14:26,203,35.23,35.0,0,-0.23
14:14:28,205,35.26,35.0,0,-0.26
14:14:30,207,35.28,35.0,0,-0.28
14:14:32,209,35.30,35.0,0,-0.30
14:14:34,211,35.32,35.0,0,-0.32
14:14:36,213,35.34,35.0,0,-0.34
14:14:38,215,35.36,35.0,0,-0.36
14:14:40,217,35.38,35.0,0,-0.38
14:14:42,219,35.39,35.0,0,-0.39
14:14:44,221,35.41,35.0,0,-0.41
14:14:46,223,35.42,35.0,0,-0.42
14:14:48,225,35.43,35.0,0,-0.43
14:14:50,227,35.45,35.0,0,-0.45
14:14:52,229,35.47,35.0,0,-0.47
14:14:54,231,35.49,35.0,0,-0.49
14:14:56,233,35.49,35.0,0,-0.49
14:14:58,235,35.50,35.0,0,-0.50
14:15:00,237,35.51,35.0,0,-0.51
14:15:02,239,35.52,35.0,0,-0.52
14:15:04,241,35.53,35.0,0,-0.53
14:15:06,243,35.53,35.0,0,-0.53
14:15:08,245,35.54,35.0,0,-0.54
14:15:10,247,35.55,35.0,0,-0.55
14:15:12,249,35.55,35.0,0,-0.55
14:15:14,251,35.56,35.0,0,-0.56
14:15:16,253,35.56,35.0,0,-0.56
14:15:18,255,35.57,35.0,0,-0.57
14:15:20,257,35.57,35.0,0,-0.57
14:15:22,259,35.58,35.0,0,-0.58
14:15:24,261,35.58,35.0,0,-0.58
14:15:26,263,35.59,35.0,0,-0.59
14:15:28,265,35.59,35.0,0,-0.59
14:15:30,267,35.59,35.0,0,-0.59
14:15:32,269,35.59,35.0,0,-0.59
14:15:34,271,35.60,35.0,0,-0.60
14:15:36,273,35.60,35.0,0,-0.60
14:15:38,275,35.60,35.0,0,-0.60
14:15:40,277,35.60,35.0,0,-0.60
14:15:42,279,35.61,35.0,0,-0.61
